:"Unnamed: 0":Name:Author:Price:Link
0:0:Мелодія кави у тональності кардамону:Н. Гурницька:170.0:"https://bookclub.ua/catalog/books/pop/melodiya-kavi-u-tonalnosti-kardamonu"
1:2:Інтуїція:Л. Гунель:195.0:"https://bookclub.ua/catalog/books/pop/intuyiciya"
2:3:Список Шиндлера:Т. Кініллі:190.0:"https://bookclub.ua/catalog/books/pop/spisok-shindlera"
3:4:Село не люди 2. Добити свідка:Л. Дашвар:165.0:"https://bookclub.ua/catalog/books/pop/selo-ne-lyudi-dobiti-svidka"
4:5:Доки не розкриється брехня. Солодка кава - гіркі таємниці:Т. Кавагуті:180.0:"https://bookclub.ua/catalog/books/pop/doki-ne-rozkriietsya-brehnya-solodka-kava---girki-taiemnici"
5:6:Необхідні речі:С. Кінг:300.0:"https://bookclub.ua/catalog/books/pop/neobhidni-rechi"
6:7:Доки кава не охолоне:Т. Кавагуті:180.0:"https://bookclub.ua/catalog/books/pop/doki-kava-ne-oholone"
7:8:"Комплект: Село не люди + Село не люди 2. Добити свідка":Л. Дашвар:280.0:"https://bookclub.ua/catalog/books/pop/komplekt-selo-ne-lyudi-selo-ne-lyudi-2-dobiti-svidka"
8:9:Комплект «Де живе свобода» з 2-х книг:С. Талан:270.0:"https://bookclub.ua/catalog/books/pop/komplekt-de-jive-svoboda-z-2-h-knig"
9:10:Хід королеви:В. Тевіс:265.0:"https://bookclub.ua/catalog/books/pop/hid-korolevi"
10:11:Квіти для Елджернона:Д. Кіз:180.0:"https://bookclub.ua/catalog/books/pop/kviti-dlya-eldjernona-1"
11:12:Квіти для Елджернона:Д. Кіз:190.0:"https://bookclub.ua/catalog/books/pop/kviti-dlya-eldjernona"
12:13:1984. Скотный двор:Дж. Оруэлл:185.0:"https://bookclub.ua/catalog/books/pop/1984-skotnyy-dvor"
13:14:І гойдалка злітає знову:О. Кір’ян:155.0:"https://bookclub.ua/catalog/books/pop/i-goydalka-zlitaie-znovu"
14:15:Смажені зелені помідори в кафе «Зупинка»:Ф. Флеґґ:190.0:"https://bookclub.ua/catalog/books/pop/smajeni-zeleni-pomidori-v-kafe-zupinka"
15:17:Не озирайся і мовчи:М. Кідрук:165.0:"https://bookclub.ua/catalog/books/pop/ne-oziraysya-i-movchi"
16:18:Код да Вінчі:Д. Браун:240.0:"https://bookclub.ua/catalog/books/pop/kod-da-vinchi-1"
17:20:Карта днів:Р. Ріґґз:240.0:"https://bookclub.ua/catalog/books/pop/karta-dniv"
